susp/con ZIKV cases,,Caribbean,Anguilla,Antigua-Barbuda,Aruba,Bahamas,Barbados,British Virgin Islands,Cayman Islands,Cuba,Curacao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Puerto Rico,St. Barthelemy,St. Lucia,St. Vincent/Grenadines,St. Martin/St. Marteen,St. Kitts/Nevis,Trinidad/Tobago,Turks/Caicos,US Virgin Islands,St. Thomas,St. Croix,St. John,**represented collectively as USVI
year,date,epi week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Jun,23,0,0,0,5,4,0,3,0,42,83,310,1,2761,61,541,1073,845,17,,11,148,0,15,1,16,10,6,0,
,12-Jun,24,0,3,0,3,6,0,9,0,49,97,207,8,2247,108,510,960,1097,34,,17,161,0,14,2,19,15,4,0,
,19-Jun,25,1,7,7,6,2,0,2,0,37,80,182,22,2613,93,465,791,1206,27,,14,116,0,20,1,26,22,4,0,
,26-Jun,26,0,4,0,3,2,1,5,0,42,99,112,75,2252,84,367,633,1399,55,,20,172,1,28,2,29,20,9,0,
,3-Jul,27,0,6,0,11,1,0,3,0,39,94,81,62,2180,77,336,533,1449,42,,9,170,1,41,3,20,14,5,1,
,10-Jul,28,1,11,0,10,1,2,4,0,27,60,66,34,1698,39,265,524,1425,44,,18,165,0,44,4,33,29,3,1,
,17-Jul,29,2,10,0,9,8,5,7,0,40,41,51,48,1515,18,252,450,1598,41,,41,142,0,67,3,43,35,7,1,
,24-Jul,30,0,5,0,11,1,0,3,0,25,40,13,19,1051,18,216,448,1611,60,,72,117,1,77,10,55,43,11,1,
,31-Jul,31,0,6,1,8,4,0,14,2,49,16,14,8,823,20,258,412,1838,66,,40,84,0,67,7,96,69,25,2,
,7-Aug,32,4,18,0,21,7,6,16,0,60,16,13,30,747,15,198,241,2125,51,,58,50,0,69,13,82,71,10,1,
,14-Aug,33,2,34,0,41,21,6,21,0,77,18,11,64,604,0,182,259,2386,47,,40,59,4,49,7,83,62,13,8,
,21-Aug,34,1,53,0,24,16,14,18,0,102,16,7,5,403,,110,322,2523,57,,41,101,4,41,6,88,68,10,10,
,28-Aug,35,1,31,1,33,9,41,15,0,86,15,10,4,376,,91,219,2230,36,,35,91,46,27,5,65,48,12,5,
,4-Sep,36,0,78,0,43,6,0,24,0,126,6,9,2,376,,65,298,2068,44,,31,114,67,18,7,83,60,17,6,
,11-Sep,37,1,50,0,33,24,0,12,0,96,5,11,5,310,,53,139,1830,31,,9,112,39,17,8,94,69,21,4,
,18-Sep,38,3,36,0,22,10,0,11,0,107,1,7,26,341,,57,104,1734,39,,4,104,35,11,11,83,58,18,7,
,25-Sep,39,0,36,0,12,17,0,14,0,96,5,7,6,95,,51,93,1316,29,,5,79,116,9,5,77,52,19,6,
,2-Oct,40,0,42,0,6,20,15,6,0,142,1,10,0,122,,42,72,1269,30,,3,123,89,5,9,71,45,21,5,
,9-Oct,41,4,31,0,9,25,19,7,0,168,3,3,1,54,,34,59,1248,16,,0,84,50,1,10,78,46,27,5,
,16-Oct,42,0,10,0,7,16,0,2,0,275,0,5,0,46,,34,38,989,29,,1,77,36,3,16,83,46,28,9,
,23-Oct,43,1,22,0,7,6,3,3,0,371,0,5,8,16,,33,18,987,24,,1,79,53,0,17,78,42,27,9,
,30-Oct,44,1,7,0,7,9,6,1,0,479,4,6,0,24,,22,21,799,22,,,55,16,0,3,73,34,25,14,
,6-Nov,45,3,3,1,6,8,9,1,0,558,0,4,0,6,,25,8,747,27,,,83,12,1,5,52,21,24,7,
,13-Nov,46,2,1,0,1,4,0,3,0,469,0,4,1,24,,14,20,522,10,,,60,6,1,10,62,23,34,5,
,20-Nov,47,5,13,0,2,3,0,2,0,408,0,3,2,59,,11,11,503,14,,,32,2,1,7,47,20,23,4,
,27-Nov,48,4,0,0,5,3,0,1,0,373,0,3,0,14,,18,4,376,10,,,55,0,0,2,34,13,19,2,
,4-Dec,49,1,0,0,0,3,0,0,0,318,0,0,2,6,,9,15,376,11,,,87,4,0,1,37,16,18,3,
,11-Dec,50,0,0,1,6,1,0,2,0,177,0,5,1,6,,9,19,337,10,,,38,1,0,1,24,7,15,2,
