susp/con ZIKV cases,,,Anguilla,Antigua-Barbuda,Aruba,Bahamas,Barbados,British Virgin Islands,Cayman Islands,Cuba,Curacao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Puerto Rico,St. Barthelemy,St. Lucia,St. Vincent/Grenadines,St. Martin/Maarten,St. Kitts/Nevis,Trinidad/Tobago,Turks/Caicos,US Virgin Islands,,St. Thomas,St. Croix,St. John,**represented collectively as USVI
year,date,epi week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43038,44,1,8,9,no graph,6,6,1,no graph,288,no trends,0,0,25,0,0,24,688,22,no trends,0,52,16,0,3,73,,34,25,14,
,43045,45,3,3,12,no graph,2,9,1,no graph,351,no trends,0,0,14,0,0,16,507,27,no trends,0,77,12,0,5,52,,21,24,7,
,43052,46,2,3,8,no graph,0,0,3,no graph,242,no trends,0,1,28,0,0,24,465,10,no trends,0,51,6,1,10,68,,23,40,5,
,43059,47,5,0,11,no graph,1,0,2,no graph,157,no trends,0,2,51,0,0,20,383,14,no trends,0,28,2,1,7,48,,20,24,4,
,43066,48,4,0,12,no graph,0,0,1,no graph,0,no trends,0,0,13,0,0,15,337,10,no trends,0,42,0,0,2,35,,13,20,2,
,43073,49,1,0,12,no graph,0,0,0,no graph,0,no trends,0,2,13,0,0,19,292,11,no trends,0,74,4,0,1,37,,16,18,3,
,43080,50,0,0,14,no graph,0,0,2,no graph,0,no trends,0,1,13,0,0,28,267,10,no trends,0,22,0,0,1,24,,7,15,2,
,43087,51,1,0,23,no graph,0,0,3,no graph,0,no trends,0,0,39,0,0,5,203,10,no trends,0,17,0,0,1,27,,7,15,5,
,43094,52,1,0,22,no graph,0,0,1,no graph,0,no trends,0,1,0,0,0,2,137,6,no trends,0,26,0,0,1,24,,10,12,2,
2017,42736,1,4,0,31,no graph,0,0,0,no graph,0,no trends,0,0,0,0,0,6,121,2,no trends,0,11,0,1,1,18,,9,7,2,
,42743,2,1,0,22,no graph,0,0,1,no graph,0,no trends,0,0,13,0,0,18,97,0,no trends,0,17,0,0,0,16,,6,8,2,
,42750,3,1,0,19,no graph,0,0,0,no graph,0,no trends,0,0,12,0,0,9,78,0,no trends,0,12,0,0,0,14,,6,6,2,
,42757,4,0,0,18,no graph,0,0,0,no graph,0,no trends,0,0,0,0,0,3,65,5,no trends,0,14,0,0,0,8,,4,2,2,
,42764,5,2,0,1,no graph,0,0,0,no graph,0,no trends,0,1,0,0,0,2,47,1,no trends,0,6,0,0,0,3,,1,2,0,
